token	pos	sem	stanford-token	stanford-pos
to	TO	Z5	to	TO
fool	VVI	G2.2- E4.1+	fool	VB
around	RP	M6	around	RB
and	CC	Z5	and	CC
waste	VVI	X9.2-/T1.3[i41.3.1 N5.2+ X9.2- N3.2-/A2.1	waste	VB
their	APPGE	X9.2-/T1.3[i41.3.2 Z8	their	PRP$
time	NNT1	X9.2-/T1.3[i41.3.3 T1 T1.2 T1.3 T1.1.2 N6 N1 K2 G2.1@	time	NN
.	.	""	.	.
-----	-----	""	-----	CD
These	DD2	Z5 Z8	These	DT
guys	NN2	S2.2m O2	guys	NNS
are	VBR	Z5 A3+	are	VBP
clearly	RR	A7+ A11.2+ A12+	clearly	RB
doing	VDG	A1.1.1 G2.2- X9.2+ E3- G2.1% Z5	doing	VBG
some	DD	N5 Z5	some	DT
important	JJ	A11.1+	important	JJ
stuff	NN1	O1 O2	stuff	NN
on	II	Z5	on	IN
their	APPGE	Z8	their	PRP$
laptops	NN2	Y2	laptops	NNS
while	CS	Z5	while	IN
being	VBG	A3+ Z5	being	VBG
on	II	M6[i42.3.1 A1.1.1[i42.3.1 T1.1.3[i42.3.1 Z5	on	IN
their	APPGE	M6[i42.3.2 A1.1.1[i42.3.2 T1.1.3[i42.3.2 Z8	their	PRP$
way	NN1	M6[i42.3.3 A1.1.1[i42.3.3 T1.1.3[i42.3.3 X4.2 M6 M3/H3 N3.3 A4.1 A1.1.1 T1.3	way	NN
to	II	Z5	to	TO
amazing	JJ	O4.2+ X2.6- A6.2-	amazing	JJ
places	NN2	M7 H1 A1.2 P1	places	NNS
.	.	""	.	.
-----	-----	""	-----	CD
People	NN	S2mfc	People	NNS
resting	VVG	E3+ M6 A3+ A2.2	resting	VBG
on	II	Z5	on	IN
rocks	NN2	O2 O1.1 K2 F1	rocks	NNS
in	II	Z5	in	IN
Central	JJ	Z2[i43.2.1 Z3c	Central	NNP
Park	NN1	Z2[i43.2.2 M7/L3	Park	NNP
,	,	""	,	,
NYC	NP1	Z99	NYC	NNP
People	NN	S2mfc	People	NNPS
resting	VVG	E3+ M6 A3+ A2.2	resting	VBG
on	II	Z5	on	IN
rocks	NN2	O2 O1.1 K2 F1	rocks	NNS
in	II	Z5	in	IN
Central	JJ	Z2[i44.2.1 Z3c	Central	NNP
Park	NN1	Z2[i44.2.2 M7/L3	Park	NNP
,	,	""	,	,
NYC	NP1	Z1mf[i45.2.1 Z3c[i45.2.1	NYC	NNP
Price	NP1	Z1mf[i45.2.2 Z3c[i45.2.2	Price	NNP
Behind	II	Z5	Behind	IN
Looking	VVG	A6.1+[i46.2.1 A8 X3.4 X2.4 X7+ Z4	Looking	VBG
Like	II	A6.1+[i46.2.2 Z5	Like	IN
a	AT1	Z5	a	DT
Cool	JJ	O4.6- S1.2.1- O4.2+ E6+	Cool	NNP
Digital	JJ	Z3c	Digital	NNP
Nomad	NN1	M1/S2mf	Nomad	NNP
From	II	Z5	From	IN
the	AT	Z5	the	DT
outside	JJ	M6 S5-	outside	JJ
,	,	""	,	,
it	PPH1	Z8	it	PRP
all	DB	N5.1+	all	DT
looks	VVZ	O4.6-/A8[i47.2.1 A8 X3.4 X2.4 X7+ Z4	looks	VBZ
cool	JJ	O4.6-/A8[i47.2.2 O4.6- S1.2.1- O4.2+ E6+	cool	JJ
and	CC	Z5	and	CC
fun	JJ	E4.1+	fun	NN
and	CC	Z5	and	CC
efficient	JJ	X9.1+/I3.2 N3.8+ A1.5.2+	efficient	JJ
.	.	""	.	.
-----	-----	""	-----	CD
However	RRQV	Z4	However	RB
when	CS	Z5	when	WRB
I	PPIS1	Z8mf	I	PRP
tried	VVD	X8+ X2.4 Q2.2 G2.1 A12-	tried	VBD
to	TO	Z5	to	TO
do	VDI	A1.1.1 G2.2- X9.2+ E3- N5+ G2.1% Z5	do	VB
it	PPH1	Z8	it	PRP
myself	PPX1	Z8mf	myself	PRP
,	,	""	,	,
I	PPIS1	Z8mf	I	PRP
realised	VVD	X2.5+ X9.2+	realised	VBD
that	DD1	Z8 Z5	that	IN
being	VBG	A3+ Z5	being	VBG
a	AT1	Z5	a	DT
digital	JJ	Y2 N1	digital	JJ
nomad	NN1	M1/S2mf	nomad	NN
is	VBZ	A3+ Z5	is	VBZ
:	:	""	:	:
expensive	JJ	I1.3+	expensive	JJ
;	;	""	;	:
distracting	VVG	X5.1-	distracting	VBG
;	;	""	;	:
time-consuming	JJ	T1.3+	time-consuming	JJ
.	.	""	.	.
-----	-----	""	-----	CD
It	PPH1	Z8	It	PRP
is	VBZ	A3+ Z5	is	VBZ
expensive	JJ	I1.3+	expensive	JJ
to	TO	Z5	to	TO
travel	VVI	M1	travel	VB
,	,	""	,	,
to	TO	Z5	to	TO
live	VVI	H4 L1+ A3	live	VB
in	II	Z5	in	IN
different	JJ	A6.1-	different	JJ
places	NN2	M7 H1 A1.2 P1	places	NNS
,	,	""	,	,
and	CC	Z5	and	CC
to	TO	Z5	to	TO
eat	VVI	F1/B1 A1.5.1/N5+	eat	VB
in	II	Z5	in	IN
cafes	NN2	F1/H1	cafes	NNS
.	.	""	.	.
-----	-----	""	-----	CD
Digital	JJ	Y2 N1	Digital	NNP
nomads	NN2	M1/S2mf	nomads	NNS
depend	VV0	A2.2 S7.1-	depend	VBP
on	II	Z5	on	IN
a	AT1	Z5	a	DT
good	JJ	A5.1+ G2.2+ O4.2+ A1.5.2+ N3.2+	good	JJ
internet	NN1	Y2	internet	NN
connection	NN1	A2.2 S5+ M3 O3 A1.1.1	connection	NN
so	CS@	Z5	so	IN
they	PPHS2	Z8mfn	they	PRP
can	VM	A7+	can	MD
not	XX	Z6	not	RB
stay	VVI	M8 T2++ H4	stay	VB
in	II	Z5	in	IN
places	NN2	M7 H1 A1.2 P1	places	NNS
where	RRQ	M6	where	WRB
there	EX	Z5	there	EX
is	VBZ	A3+ Z5	is	VBZ
no	AT	Z6	no	DT
fast	JJ	N3.8+	fast	JJ
internet	NN1	Y2	internet	NN
available	JJ	A3+ A9+ A1.2+/G1.2 S4	available	JJ
.	.	""	.	.
-----	-----	""	-----	CD
This	DD1	Z8 M6 Z5	This	DT
forces	VVZ	S7.1+ A1.1.1 E3-	forces	VBZ
them	PPHO2	Z8mfn	them	PRP
to	TO	Z5	to	TO
live	VVI	H4 L1+ A3	live	VB
in	II	Z5	in	IN
big	JJ	N3.2+ N5+ A11.1+ S1.2.5+ X5.2+	big	JJ
cities	NN2	M7	cities	NNS
that	CST	Z8 Z5	that	WDT
are	VBR	A3+ Z5	are	VBP
not	XX	Z6	not	RB
cheap	JJ	I1.3- O4.2-	cheap	JJ
.	.	""	.	.
-----	-----	""	-----	CD
When	CS	Z5	When	WRB
I	PPIS1	Z8mf	I	PRP
went	VVD	M1 A2.1+ A1.1.1 A9- A1.8+ Q2.1 N6+ I2.2 A1.1.2 T2- S3.2 A6.3+ B2-/X1% B1%	went	VBD
to	II	Z5	to	TO
NYC	NP1	Z99	NYC	NNP
,	,	""	,	,
I	PPIS1	Z8mf	I	PRP
stayed	VVD	M8 T2++ H4	stayed	VBD
at	II	Z5	at	IN
a	AT1	Z5	a	DT
pretty	RG	A13.5	pretty	RB
cheap	JJ	I1.3- O4.2-	cheap	JJ
airbnb	NN1	Z99	airbnb	NN
place	NN1	M7 H1 A1.2 P1	place	NN
.	.	""	.	.
-----	-----	""	-----	CD
It	PPH1	Z8	It	PRP
was	VBDZ	A3+ Z5	was	VBD
a	AT1	Z5	a	DT
shared	JJ	S1.1.2+	shared	JJ
room	NN1	H2 N3.6	room	NN
in	II	Z5	in	IN
Brooklyn	NP1	A4.1 T1.2 M7c G1.1c	Brooklyn	NNP
for	IF	Z5	for	IN
only	RR	A14	only	RB
slightly	RR	A13.6	slightly	RB
more	DAR	N5++	more	JJR
than	CSN	Z5	than	IN
$65	NNU	N1 T3 T1.2 Z5 S4mf S5+c K2 L2 O2 N5- N3.2- T3- N3.7- N3.3- T1.3- A11.1- A13.7 B1 N5 S2mf C1 O4.4 X2.1 X2.5+	$65	CD
a	AT1	Z5	a	DT
night	NNT1	T1.3	night	NN
.	.	""	.	.
-----	-----	""	-----	CD
For	IF	Z5	For	IN
three	MC	N1 T1.2 T3	three	CD
nights	NNT2	T1.3	nights	NNS
I	PPIS1	Z8mf	I	PRP
paid	VVD	I1.2 A9- I1.1/I3.1	paid	VBD
$195	NNU	Z99	$195	CD
(	(	""	(	CD
$271CAD	NNU	Z99	$271CAD	NN
)	)	""	)	NN
.	.	""	.	.
-----	-----	""	-----	CD
This	DD1	Z8 M6 Z5	This	DT
is	VBZ	A3+ Z5	is	VBZ
a	AT1	Z5	a	DT
quarter	NN1	N1 N5 T1.3	quarter	NN
of	IO	Z5	of	IN
what	DDQ	Z8 Z5	what	WP
I	PPIS1	Z8mf	I	PRP
pay	VV0	I1.2 A9- I1.1/I3.1	pay	VBP
here	RL	M6 T1.1.2 T1.2	here	RB
,	,	""	,	,
in	II	Z5	in	IN
Montreal	NP1	Z2	Montreal	NNP
,	,	""	,	,
for	IF	Z5	for	IN
a	AT1	Z5	a	DT
mortgage	NN1	I1.2/H1	mortgage	NN
of	IO	Z5	of	IN
a	AT1	Z5	a	DT
nice	JJ	O4.2+ S1.2.1+	nice	JJ
2	MC	N1 T1.2 T3 T1.3 N3.2	2	CD
bedroom	NN1	H2	bedroom	NN
apartment	NN1	H1/H4	apartment	NN
.	.	""	.	.
-----	-----	""	-----	CD
The	AT	Z5	The	DT
money	NN1	I1	money	NN
I	PPIS1	Z8mf	I	PRP
paid	VVD	I1.2 A9- I1.1/I3.1	paid	VBD
for	IF	Z5	for	IN
3	MC	N1 T1.2 T3 T1.3 N3.2	3	CD
nights	NNT2	T1.3	nights	NNS
in	II	Z5	in	IN
New	NP1	Z2[i49.2.1 Z1mf[i48.2.1 Z3c[i48.2.1	New	NNP
York	NP1	Z2[i49.2.2 Z2 Z1mf Z1mf[i48.2.2 Z3c[i48.2.2	York	NNP
would	VM	A7+	would	MD
cover	VVI	A10- M1 N3.6 S8+ I1.1 A1.8+ N5 Q2.1 A1.1.1	cover	VB
7.5	MC	N1 T1.2 T3 T1.3 N3.2	7.5	CD
days	NNT2	T1.3	days	NNS
of	IO	Z5	of	IN
living	VVG	H4 L1+	living	VBG
in	II	Z5	in	IN
my	APPGE	Z8[i50.2.1 Z8	my	PRP$
own	DA	Z8[i50.2.2 A9+ S5-	own	JJ
apartment	NN1	H1/H4	apartment	NN
.	.	""	.	.
-----	-----	""	-----	CD
So	RR	Z5 A13.3	So	RB
,	,	""	,	,
this	DD1	M6 Z5 Z8	this	DT
stay	NN1@	M8 T4- H4	stay	NN
was	VBDZ	A3+ Z5	was	VBD
more	DAR	N5++	more	JJR
than	CSN	Z5	than	IN
twice	RR	N6	twice	RB
as	RG	A13	as	IN
expensive	JJ	I1.3+	expensive	JJ
as	CSA	Z5	as	IN
owning	VVG	A9+	owning	VBG
a	AT1	Z5	a	DT
much	RR	A13.3 N6+	much	RB
bigger	JJR	N3.2++ N5++ A11.1++ S1.2.5++ X5.2++	bigger	JJR
place	NN1	M7 H1 A1.2 P1	place	NN
!	!	""	!	.
-----	-----	""	-----	CD
Couch	NN1	H5	Couch	NN
surfing	NN1@	M4	surfing	NN
can	VM	A7+	can	MD
be	VBI	A3+ Z5	be	VB
a	AT1	Z5	a	DT
solution	NN1	X4.2 O1.2	solution	NN
to	II	Z5	to	TO
this	DD1	M6 Z5 Z8	this	DT
problem	NN1	A12- X4.1 B2-	problem	NN
.	.	""	.	.
-----	-----	""	-----	CD
But	CCB	Z5	But	CC
it	PPH1	Z8	it	PRP
is	VBZ	A3+ Z5	is	VBZ
a	AT1	Z5	a	DT
sacrifice	NN1	S9 A9-	sacrifice	NN
in	II31	Z5[i51.3.1 Z5	in	IN
terms	II32	Z5[i51.3.2	terms	NNS
of	II33	Z5[i51.3.3	of	IN
both	DB2	N5	both	DT
physical	JJ	B1 A1.6 E3- Y1	physical	JJ
and	CC	Z5	and	CC
psychological	JJ	X1	psychological	JJ
comfort	NN1	O4.2+ E6+	comfort	NN
;	;	""	;	:
thus	RR	Z5/A2.2	thus	RB
,	,	""	,	,
it	PPH1	Z8	it	PRP
is	VBZ	A3+ Z5	is	VBZ
not	XX	Z6	not	RB
suitable	JJ	A1.2+	suitable	JJ
for	IF	Z5	for	IN
me	PPIO1	Z8mf	me	PRP
.	.	""	.	.
-----	-----	""	-----	CD
Eating	VVG	F1[i52.2.1 F1/B1 A1.5.1/N5+	Eating	NNP
out	RP	F1[i52.2.2 M6	out	IN
all	DB	T2++[i53.3.1 N6+[i53.3.1 N5.1+	all	PDT
the	AT	T2++[i53.3.2 N6+[i53.3.2 Z5	the	DT
time	NNT1	T2++[i53.3.3 N6+[i53.3.3 T1 T1.2 T1.3 T1.1.2 N6 N1 K2 G2.1@	time	NN
is	VBZ	A3+ Z5	is	VBZ
also	RR	N5++	also	RB
very	RG	A13.3	very	RB
expensive	JJ	I1.3+	expensive	JJ
.	.	""	.	.
-----	-----	""	-----	CD
Of	RR21	Z4[i54.2.1	Of	IN
course	RR22	Z4[i54.2.2 Z4	course	NN
,	,	""	,	,
it	PPH1	Z8	it	PRP
is	VBZ	A3+ Z5	is	VBZ
possible	JJ	A7+	possible	JJ
to	TO	Z5	to	TO
not	XX	Z6	not	RB
work	VVI	I3.1 A1.1.1 X9.2+ A2.1+ A2.2	work	VB
from	II	Z5	from	IN
cafes	NN2	F1/H1	cafes	NNS
but	CCB	Z5	but	CC
rather	RR@	Z4 E2++	rather	RB
stay	VV0	M8 T2++ H4	stay	VB
at	II	Z5	at	IN
the	AT	Z5	the	DT
place	NN1	M7 H1 A1.2 P1	place	NN
where	RRQ	M6	where	WRB
you	PPY	Z8mf	you	PRP
live	VV0	H4 L1+ A3	live	VBP
and	CC	Z5	and	CC
work	VV0	I3.1 A1.1.1 X9.2+ A2.1+ A2.2	work	VBP
from	II	Z5	from	IN
there	RL	M6 T1.2	there	EX
.	.	""	.	.
-----	-----	""	-----	CD
But	CCB	Z5	But	CC
then	RT	N4 Z5 T1.2	then	RB
whats	NN2	Z8 Z5	whats	VBZ
the	AT	Z5	the	DT
point	NN1	Q2.1 X4.1 A5.1 A1.5.2 M7 T1.2 O4.4 O3 K5	point	NN
?	?	""	?	.
-----	-----	""	-----	CD
Why	RRQ	A2.2	Why	WRB
should	VM	S6+ A7+	should	MD
I	PPIS1	Z8mf	I	PRP
come	VVI	A4.1[i55.2.1 M1[i55.2.1 B1[i55.2.1 N5[i55.2.1 X6+[i55.2.1 X2.1[i55.2.1 M1 N3.1 A2.2 A3+ X2.1 A9+ S4 N4 S3.2	come	VB
to	II	A4.1[i55.2.2 M1[i55.2.2 B1[i55.2.2 N5[i55.2.2 X6+[i55.2.2 X2.1[i55.2.2 Z5	to	TO
a	AT1	Z5	a	DT
new	JJ	T3-	new	JJ
place	NN1	M7 H1 A1.2 P1	place	NN
only	RR	A14	only	RB
to	TO	Z5	to	TO
stay	VVI	M8 T2++ H4	stay	VB
inside	RL	M6 G2.1@	inside	IN
locked	VVN	A1.7+[i56.2.1 F2%[i56.2.1 A1.7+	locked	VBN
in	II	A1.7+[i56.2.2 F2%[i56.2.2 Z5	in	IN
four	MC	N1 T3 T1.2	four	CD
walls	NN2	H2 O2 N5+ S8-	walls	NNS
?	?	""	?	.
-----	-----	""	-----	CD
This	DD1	Z8 M6 Z5	This	DT
is	VBZ	A3+ Z5	is	VBZ
at	RR21	A13.7[i57.2.1	at	IN
least	RR22	A13.7[i57.2.2 A13.7	least	JJS
how	RRQ	Z5 A13.3	how	WRB
I	PPIS1	Z8mf	I	PRP
understand	VV0	X2.5+	understand	VBP
it	PPH1	Z8	it	PRP
.	.	""	.	.
-----	-----	""	-----	CD
fishermen	NN2	F4/M4/S2.2m K5.1/M4/S2.2m	fishermen	NNS
in	II	Z5	in	IN
Central	JJ	Z1mf[i60.3.1 Z3c[i60.3.1 Z3c Z2[i58.2.1 Z1mf[i59.2.1 Z3c[i59.2.1	Central	NNP
Park	NP1	Z1mf[i60.3.2 Z3c[i60.3.2 Z1mf[i62.3.1 Z3c[i62.3.1 Z2[i58.2.2 Z1mf[i59.2.2 Z3c[i59.2.2 Z1mf[i61.2.1 Z3c[i61.2.1	Park	NNP
NYC	NP1	Z3c[i60.3.3 Z1mf[i60.3.3 Z1mf[i62.3.2 Z3c[i62.3.2 Z1mf[i61.2.2 Z3c[i61.2.2 Z1mf[i63.2.1 Z3c[i63.2.1	NYC	NNP
Digital	JJ	Z3c[i62.3.3 Z1mf[i62.3.3 Z3c Z1mf[i63.2.2 Z3c[i63.2.2	Digital	NNP
nomads	NN2	M1/S2mf	nomads	NNS
trying	VVG	X8+ X2.4 Q2.2 G2.1 A12-	trying	VBG
to	TO	Z5	to	TO
save	VVI	I1.1 B3 A9+ S8+ A1.9 K5.1 S9	save	VB
some	DD	N5 Z5	some	DT
money	NN1	I1	money	NN
on	II	Z5	on	IN
food	NN1	F1	food	NN
?	?	""	?	.
-----	-----	""	-----	CD
Central	JJ	A11.1+ M6	Central	NNP
Park	NN1	M7/L3	Park	NNP
,	,	""	,	,
NYC	NP1	Z2[i64.3.1 Z2[i65.3.1	NYC	NNP
In	II	Z2[i64.3.2 Z5 Z2[i65.3.2	In	IN
NYC	NP1	Z2[i64.3.3 Z2[i65.3.3	NYC	NNP
,	,	""	,	,
I	PPIS1	Z8mf	I	PRP
worked	VVD	I3.1 A1.1.1 X9.2+ A2.1+ A2.2	worked	VBD
from	II	Z5	from	IN
cafes	NN2	F1/H1	cafes	NNS
a	AT1	Z5	a	DT
few	DA2	N6+[i66.2.1 N5-	few	JJ
times	NNT2	N6+[i66.2.2 T1 T1.2 T1.3 T1.1.2 N6 N1	times	NNS
.	.	""	.	.
-----	-----	""	-----	CD
Each	DD1	N6+[i67.2.1 N5.1+	Each	DT
time	NNT1	N6+[i67.2.2 T1 T1.2 T1.3 T1.1.2 N6 N1 K2 G2.1@	time	NN
I	PPIS1	Z8mf	I	PRP
paid	VVD	I1.2 A9- I1.1/I3.1	paid	VBD
about	RG	A13.4	about	RB
$12-16	NNU	Z99	$12-16	CD
for	IF	Z5	for	IN
a	AT1	Z5	a	DT
meal	NN1	F1	meal	NN
walking	VVG	M1 L2 X9.2+/A12+	walking	VBG
all	DB	T1.3+[i68.2.1 N5.1+	all	DT
day	NNT1	T1.3+[i68.2.2 T1.3	day	NN
made	VVD	A1.1.1 A9+ A2.2 S6+ A3+ A9- X9.2+ X6+	made	VBD
me	PPIO1	Z8mf	me	PRP
super	JJ	A5.1+	super	JJ
hungry	JJ	F1-/B1 S1.2.2+ A1.5.1/N5+	hungry	JJ
.	.	""	.	.
-----	-----	""	-----	CD
However	RR	Z4	However	RB
for	IF	Z5	for	IN
suppers	NN2	F1	suppers	NNS
,	,	""	,	,
I	PPIS1	Z8mf	I	PRP
went	VVD	M1 A2.1+ A1.1.1 A9- A1.8+ Q2.1 N6+ I2.2 A1.1.2 T2- S3.2 A6.3+ B2-/X1% B1%	went	VBD
to	II	Z5	to	TO
a	AT1	Z5	a	DT
grocery	NN1	F1/I2.2c[i69.2.1 F1	grocery	NN
store	NN1	F1/I2.2c[i69.2.2 I2.2/H1c A9+ A9+/H1	store	NN
where	CS	M6	where	WRB
I	PPIS1	Z8mf	I	PRP
spent	VVD	I1.2 A1.5.1 T1.3	spent	VBD
$25-30	NNU	Z99	$25-30	CD
each	DD1	N6+[i70.2.1 N5.1+	each	DT
time	NNT1	N6+[i70.2.2 T1 T1.2 T1.3 T1.1.2 N6 N1 K2 G2.1@	time	NN
.	.	""	.	.
-----	-----	""	-----	CD
This	DD1	Z8 M6 Z5	This	DT
was	VBDZ	A3+ Z5	was	VBD
enough	DD	N5+ N6+	enough	RB
to	TO	Z5	to	TO
feed	VVI	F1 A9- S8+ M2@	feed	VB
both	RR	Z5	both	CC
me	PPIO1	Z8mf	me	PRP
and	CC	Z5	and	CC
Sam	NP1	Z1mf	Sam	NNP
for	IF	Z5	for	IN
supper	NN1	F1	supper	NN
and	CC	Z5	and	CC
the	AT	Z5	the	DT
next	MD	T1.1.3[i71.2.1 N4	next	JJ
day	NNT1	T1.1.3[i71.2.2 T1.3	day	NN
for	IF	Z5	for	IN
breakfast	NN1	F1	breakfast	NN
.	.	""	.	.
-----	-----	""	-----	CD
I	PPIS1	Z8mf	I	PRP
could	VM	A7+	could	MD
not	XX	Z6	not	RB
help	VVI	S8+	help	VB
but	CCB	Z5	but	CC
prove	VV0	A5.2+ X2.4	prove	VB
a	AT1	Z5	a	DT
well-known	JJ	X2.2+ A11.1+	well-known	JJ
fact	NN1	A5.2+ X2.2	fact	NN
that	CST	Z8 Z5	that	IN
cooking	VVG	F1	cooking	NN
your	APPGE	Z8[i72.2.1 Z8	your	PRP$
own	DA	Z8[i72.2.2 A9+ S5-	own	JJ
food	NN1	F1	food	NN
is	VBZ	A3+ Z5	is	VBZ
much	RR	A13.3 N6+	much	JJ
cheaper	JJR	I1.3-- O4.2--	cheaper	JJR
than	CSN	Z5	than	IN
eating	VVG	F1[i73.2.1 F1/B1 A1.5.1/N5+	eating	VBG
out	RP	F1[i73.2.2 M6	out	RP
.	.	""	.	.
-----	-----	""	-----	CD
Working	VVG	I3.1 A1.1.1 X9.2+ A2.1+ A2.2	Working	VBG
in	II	Z5	in	IN
public	JJ	S5+ A10+	public	JJ
places	NN2	M7 H1 A1.2 P1	places	NNS
can	VM	A7+	can	MD
be	VBI	Z5 A3+	be	VB
distracting	VVG	X5.1-	distracting	VBG
.	.	""	.	.
-----	-----	""	-----	CD
At	RR21	A13.7[i74.2.1	At	IN
least	RR22	A13.7[i74.2.2 A13.7	least	JJS
,	,	""	,	,
it	PPH1	Z8	it	PRP
is	VBZ	A3+ Z5	is	VBZ
for	IF	Z5	for	IN
me	PPIO1	Z8mf	me	PRP
.	.	""	.	.
-----	-----	""	-----	CD
The	AT	Z5	The	DT
last	MD	T1.1.1[i75.2.1 N4	last	JJ
time	NNT1	T1.1.1[i75.2.2 T1 T1.2 T1.3 T1.1.2 N6 N1 K2 G2.1@	time	NN
I	PPIS1	Z8mf	I	PRP
went	VVD	M1 A2.1+ A1.1.1 A9- A1.8+ Q2.1 N6+ I2.2 A1.1.2 T2- S3.2 A6.3+ B2-/X1% B1%	went	VBD
to	II	Z5	to	TO
a	AT1	Z5	a	DT
cafe	NN1	F1/H1	cafe	NN
in	II	Z5	in	IN
NYC	NP1	Z99	NYC	NNP
,	,	""	,	,
two	MC	N1 T3 T1.2	two	CD
cafe	NN1	F1/H1	cafe	NN
neighbours	NN2	H3/S2mf N3.3-/S2mf M7/N3.3-	neighbours	NNS
of	IO	Z5	of	IN
mine	PPGE	Z8	mine	NN
had	VHN@	A9+ Z5 A2.2 S4	had	VBD
a	AT1	Z5	a	DT
loud	JJ	X3.2+ O4.3	loud	JJ
conversation	NN1	Q2.1	conversation	NN
about	II	Z5	about	IN
their	APPGE	Z8	their	PRP$
purpose	NN1	X7+ A2.2 A1.5.1	purpose	NN
in	II	Z5	in	IN
life	NN1	L1+ A3+ T1.3 S1.1.1 A1.1.1 X5.2+ Q4.1 A11.1+++ A5.4+/C1	life	NN
.	.	""	.	.
-----	-----	""	-----	CD
It	PPH1	Z8	It	PRP
was	VBDZ	A3+ Z5	was	VBD
so	RG	A13.3	so	RB
hard	JJ	O4.5 A12- S1.2.5+ O4.1	hard	JJ
for	IF	Z5	for	IN
me	PPIO1	Z8mf	me	PRP
to	TO	Z5	to	TO
concentrate	VVI	X5.1+ I2.2% M6 N5+ O1.2 W3/I4	concentrate	VB
!	!	""	!	.
-----	-----	""	-----	CD
I	PPIS1	Z8mf	I	PRP
did	VDD	Z5 A1.1.1 G2.2- X9.2+ E3- G2.1%	did	VBD
not	XX	Z6	not	RB
think	VVI	X2.1	think	VB
of	IO	Z5	of	IN
bringing	VVG	M2 A2.2	bringing	VBG
headphones	NN2	K3	headphones	NNS
and	CC	Z5	and	CC
regretted	VVD	E4.1-	regretted	VBD
it	PPH1	Z8	it	PRP
a	RR21@	A13.3[i76.2.1 N6+[i76.2.1	a	DT
lot	RR22	A13.3[i76.2.2 N6+[i76.2.2	lot	NN
.	.	""	.	.
-----	-----	""	-----	CD
At	II	T1.1.2[i77.4.1 Z5	At	IN
the	AT	T1.1.2[i77.4.2 Z5	the	DT
same	DA	T1.1.2[i77.4.3 A6.1+++	same	JJ
time	NNT1	T1.1.2[i77.4.4 T1 T1.2 T1.3 T1.1.2 N6 N1 K2 G2.1@	time	NN
,	,	""	,	,
I	PPIS1	Z8mf	I	PRP
can	VM	A7+	can	MD
not	XX	Z6	not	RB
listen	VVI	X3.2	listen	VB
to	II	Z5	to	TO
music	NN1	K2	music	NN
for	IF	Z5	for	IN
too	RG	N5.2+ A13.3	too	RB
long	RR	T1.3+	long	JJ
my	APPGE	Z8	my	PRP$
ears	NN2	B1	ears	NNS
get	VV0	A2.1+ A9+ Z5 X9.2+ A2.2 M1 M2 X2.5+ E4.1-	get	VBP
tired	JJ	B1 B2- X5.2- O4.2-	tired	JJ
eventually	RR	N4	eventually	RB
.	.	""	.	.
-----	-----	""	-----	CD
However	RR	Z4	However	RB
,	,	""	,	,
it	PPH1	Z8	it	PRP
seems	VVZ	A8	seems	VBZ
that	CST	Z8 Z5	that	IN
having	VHG	A9+ Z5 A2.2 S4	having	VBG
headphones	NN2	K3	headphones	NNS
is	VBZ	A3+ Z5	is	VBZ
a	AT1	Z5	a	DT
must	NN1	S6+ A7+	must	MD
for	IF	Z5	for	IN
me	PPIO1	Z8mf	me	PRP
if	CS	Z7	if	IN
I	PPIS1	Z8mf	I	PRP
want	VV0	X7+ S6+ A7+ S3.2 A9-	want	VBP
to	TO	Z5	to	TO
work	VVI	I3.1 A1.1.1 X9.2+ A2.1+ A2.2	work	VB
in	II	Z5	in	IN
public	JJ	S5+ A10+	public	JJ
places	NN2	M7 H1 A1.2 P1	places	NNS
.	.	""	.	.
-----	-----	""	-----	CD
Otherwise	RR	A6.1-	Otherwise	RB
,	,	""	,	,
no	AT	Z6	no	DT
work	NN1	I3.1 A1.1.1 Q4 K2 C1	work	NN
can	VM	A7+	can	MD
be	VBI	Z5 A3+	be	VB
done	VDN	A1.1.1 G2.2- X9.2+ E3- G2.1% Z5	done	VBN
.	.	""	.	.
-----	-----	""	-----	CD
guy	NN1	S2.2m O2	guy	NN
chilling	JJ	E5-	chilling	VBG
on	II	Z5	on	IN
bench	NN1	H5 G2.1c	bench	NN
in	II	Z5	in	IN
Central	JJ	Z2[i78.2.1 Z3c	Central	NNP
Park	NN1	Z2[i78.2.2 M7/L3	Park	NNP
NYC	NN1	Z99	NYC	NNP
This	DD1	M6 Z5 Z8	This	DT
public	JJ	S5+ A10+	public	JJ
place	NN1	M7 H1 A1.2 P1	place	NN
does	VDZ	Z5 A1.1.1 G2.2- X9.2+ E3- G2.1%	does	VBZ
not	XX	Z6	not	RB
seem	VVI	A8	seem	VB
to	TO	Z5	to	TO
be	VBI	Z5 A3+	be	VB
distracting	VVG	X5.1-	distracting	VBG
!	!	""	!	.
-----	-----	""	-----	CD
Too	RG	Z4[i79.2.1 N5.2+ A13.3	Too	RB
bad	JJ	Z4[i79.2.2 A5.1- G2.2- O4.2- B2-	bad	JJ
it	PPH1	Z8	it	PRP
does	VDZ	Z5 A1.1.1 G2.2- X9.2+ E3- G2.1%	does	VBZ
not	XX	Z6	not	RB
have	VHI	A9+ Z5 A2.2 S4	have	VB
a	AT1	Z5	a	DT
wifi	NN2	Q4.3 Q1.3 M7 H3/S2mf F2/H1c A4.1 N3.6 S5+c Y2 S1.1.1 S6+/S1.2 S6+/S4 A5.3+ Z3c	wifi	NN
.	.	""	.	.
-----	-----	""	-----	CD
