token	pos	sem	stanford-token	stanford-pos
world	NN1	M7/N5.1+[i19.4.4 W1 S5+c A4.1 N5+	world	NN
and	CC	Z5	and	CC
get	VV0	A9+ Z5 X9.2+ A2.1+ A2.2 M1 M2 X2.5+ E4.1-	get	VB
to	TO	Z5	to	TO
know	VVI	X2.2+ S3.2/B1%	know	VB
their	APPGE	Z8	their	PRP$
culture	NN1	C1 S1.1.1 S5+ L1	culture	NN
and	CC	Z5	and	CC
habits	NN2	S1.1.1 A6.2+ B5@	habits	NNS
!	!	""	!	.
-----	-----	""	-----	CD
I	PPIS1	Z8mf	I	PRP
have	VH0	A9+ Z5 A2.2 S4	have	VBP
medium	JJ	N3.2 N3.1	medium	NN
collection	NN1	A9+ I1 B5	collection	NN
of	IO	Z5	of	IN
something	PN1	Z8	something	NN
interesting	JJ	X5.2+	interesting	JJ
from	II	Z5	from	IN
all	RR	M7/N5.1+[i21.4.1 A13.2 N5.1+[i20.2.1	all	DT
over	II	M7/N5.1+[i21.4.2 Z5 N5.1+[i20.2.2	over	IN
the	AT	M7/N5.1+[i21.4.3 Z5	the	DT
world	NN1	M7/N5.1+[i21.4.4 W1 S5+c A4.1 N5+	world	NN
and	CC	Z5	and	CC
if	CS	Z7	if	IN
you	PPY	Z8mf	you	PRP
are	VBR	A3+ Z5	are	VBP
a	AT1	Z5	a	DT
collector	NN1	A9+/S2mf G1.1/S2mf	collector	NN
of	IO	Z5	of	IN
something	PN1	Z8	something	NN
as	RR21	N5++[i22.2.1	as	RB
well	RR22	N5++[i22.2.2 A5.1+ A13.3 A7+ B2+ Z4	well	RB
I	PPIS1	Z8mf	I	PRP
will	VM	T1.1.3	will	MD
be	VBI	A3+ Z5	be	VB
happy	JJ	E4.1+ E4.2+	happy	JJ
to	TO	Z5	to	TO
see	VVI	X3.4 X2.1 S1.1.1 X2.5+ X2.3+ X3 A7+ Z4 S3.2	see	VB
your	APPGE	Z8	your	PRP$
collection	NN1	A9+ I1 B5	collection	NN
.	.	""	.	.
-----	-----	""	-----	CD
I	PPIS1	Z8mf	I	PRP
am	VBM	A3+ Z5	am	VBP
always	RR	N6+++	always	RB
open	JJ	A10+ S1.2.1+ X6- X5.2+ A7+	open	JJ
to	II	Z5	to	TO
learn	VV0	X2.3+ P1	learn	VB
more	RRR	A13.3 N6++	more	JJR
!	!	""	!	.
-----	-----	""	-----	CD
I	PPIS1	Z8mf	I	PRP
am	VBM	A3+ Z5	am	VBP
very	RG	A13.3	very	RB
positive	JJ	A5.1+ A7+ N2	positive	JJ
and	CC	Z5	and	CC
open	VV0	A10+ T2+	open	JJ
,	,	""	,	,
I	PPIS1	Z8mf	I	PRP
can	VM	A7+	can	MD
easy	RR@	A12+	easy	RB
make	VVI	S1.2.1+[i23.2.1 A1.1.1 A9+ A2.2 S6+ A3+ A9- X9.2+ X6+	make	VB
friends	NN2	S1.2.1+[i23.2.2 S3.1/S2mf	friends	NNS
and	CC	Z5	and	CC
have	VH0	A9+ Z5 A2.2 S4	have	VBP
so	RG	N5[i24.2.1 A13.3	so	RB
many	DA2	N5[i24.2.2 N5+	many	JJ
sincere	JJ	A5.4+	sincere	JJ
pleasure	NN1	E4.2+ K1	pleasure	NN
to	TO	Z5	to	TO
know	VVI	X2.2+ S3.2/B1%	know	VB
more	RRR	A13.3 N6++	more	JJR
about	II	Z5	about	IN
their	APPGE	Z8	their	PRP$
life	NN1	L1+ A3+ T1.3 S1.1.1 A1.1.1 X5.2+ Q4.1 A11.1+++ A5.4+/C1	life	NN
!	!	""	!	.
-----	-----	""	-----	CD
I	ZZ1@	Z8	I	PRP
'	NULL	""	'	''
m	ZZ1	Z5 G1.1/S2	m	NN
considerate	JJ	S1.2.3-	considerate	NN
,	,	""	,	,
kind	NN1	A4.1	kind	NN
,	,	""	,	,
honest	JJ	A5.2+	honest	JJ
and	CC	Z5	and	CC
very	RG	A13.3	very	RB
reIiable	JJ	Z99	reIiable	JJ
.	.	""	.	.
-----	-----	""	-----	CD
I	PPIS1	Z8mf	I	PRP
already	RR	T1.1.1	already	RB
have	VH0	A9+ Z5 A2.2 S4	have	VBP
almost	RR	A13.4	almost	RB
all	DB	N5.1+	all	RB
necessary	JJ	S6+ A11.1+	necessary	JJ
documents	NN2	Q1.2 X2.2+ Y2	documents	NNS
for	IF	Z5	for	IN
MVV	NP1	Z99	MVV	NN
visa	NN1	Q1.2	visa	NN
,	,	""	,	,
the	AT	Z5	the	DT
process	NN1	A1.1.1 X4.2	process	NN
of	IO	Z5	of	IN
receiving	VVG	A9+ S5+	receiving	VBG
the	AT	Z5	the	DT
visa	NN1	Q1.2	visa	NN
will	VM	T1.1.3	will	MD
be	VBI	A3+ Z5	be	VB
easy	JJ	A12+	easy	JJ
and	CC	Z5	and	CC
NOT	XX	Z6	NOT	RB
long	RR	T1.3+	long	RB
!	!	""	!	.
-----	-----	""	-----	CD
If	CS	Z7	If	IN
you	PPY	Z8mf	you	PRP
want	VV0	X7+ S6+ A7+ S3.2 A9-	want	VBP
to	TO	Z5	to	TO
meet	VVI	S3.1 M6 A1.1.1 X9.2+ A6.1+	meet	VB
me	PPIO1	Z8mf	me	PRP
before	II	Z5	before	IN
the	AT	Z5	the	DT
papers	NN2	Q4.2c O1.1 Q1.2 P1/Q1.2 H5	papers	NNS
will	VM	T1.1.3	will	MD
be	VBI	A3+ Z5	be	VB
ready	JJ	O4.1 A1.2+ X7+ T2+ A9+/A12+ X9.1+	ready	JJ
,	,	""	,	,
I	PPIS1	Z8mf	I	PRP
have	VH0	A9+ Z5 A2.2 S4	have	VBP
usual	JJ	A6.2+	usual	JJ
type	NN1	A4.1 A6.2+ S1.2 Q1.2	type	NN
of	IO	Z5	of	IN
visa	NN1	Q1.2	visa	NN
and	CC	Z5	and	CC
can	VM	A7+	can	MD
go	VVI	M1 A2.1+ A1.1.1 A9- A1.8+ Q2.1 N6+ I2.2 A1.1.2 T2- S3.2 A6.3+ B2-/X1% B1%	go	VB
to	II	Z5	to	TO
the	AT	Z5	the	DT
Netherlands	NP1	Z2 Z3c	Netherlands	NNP
anytime	NNT1	T1.1	anytime	RB
.	.	""	.	.
-----	-----	""	-----	CD
I	PPIS1	Z8mf	I	PRP
don	VV0	P1/S2mf Z1m	don	VBP
'	NULL	""	'	''
t	ZZ1	Z5	t	NN
consider	VV0	X2.1 X2.4 X6	consider	VBP
au	NN121	H4/S2.1f[i25.2.1	au	NN
pair	NN122	H4/S2.1f[i25.2.2	pair	NN
to	TO	Z5	to	TO
be	VBI	A3+ Z5	be	VB
only	RR	A14	only	RB
a	AT1	Z5	a	DT
job	NN1	I3.1 A1.1.1 A12-	job	NN
,	,	""	,	,
for	IF	Z5	for	IN
me	PPIO1	Z8mf	me	PRP
it	PPH1	Z8	it	PRP
'	NULL	""	'	''
s	ZZ1	Z5	s	NNS
like	II	Z5	like	IN
having	VHG	A9+ Z5 A2.2 S4	having	VBG
the	AT	Z5	the	DT
second	MD	N4	second	JJ
family	NN1	S4c A4.1c	family	NN
,	,	""	,	,
being	VBG	A3+ Z5	being	VBG
an	AT1	Z5	an	DT
elder	JJR	T3++	elder	JJR
sister	NN1	S4f S9/S2.1f B3/S2.1f S2.1f A2.2	sister	NN
and	CC	Z5	and	CC
spending	VVG	I1.2 A1.5.1 T1.3	spending	NN
great	JJ	A5.1+ A11.1+ N3.2+ N5+ X5.2+ A13.3	great	JJ
time	NNT1	T1 T1.2 T1.3 T1.1.2 N6 N1 K2 G2.1@	time	NN
together	RL	S5+ T1.1.2 M6	together	RB
!	!	""	!	.
"</text>
"	NULL	""	</text>	IN
